n_patients,n_discharge,n_admission,n_transferred,n_poct_applied,n_fasttrack,assessment_wait_mean,assessment_wait_p95,assessment_wait_max,boarding_wait_mean,boarding_wait_p95,boarding_wait_max,total_los_mean,total_los_p95,total_los_max,boarding_wait_critical_mean,boarding_wait_high_mean,boarding_wait_medium_mean,boarding_wait_low_mean,replication
55027,33997,18664,2366,34800,11400,0.09891620853344686,0.5717002316970138,3.875046865441618,2.5464963578927575,7.2266255449211245,213.02599022056347,2.345163427062238,7.376236722217656,217.32525865504977,0.1951915614149018,0.24173365633542687,0.6542872275044986,5.805982910245931,1
55128,33704,19078,2346,34603,11188,0.11836923535957257,0.6198789760904614,4.528623106984014,2.683655027509176,7.091657832091039,178.23404990346353,2.454151164898547,7.5869412114982815,180.59103073730694,0.19702503077509048,0.2622492188836155,0.545466949627374,6.1786980025046025,2
55051,33836,18855,2360,34765,11148,0.11114926178674506,0.5968329902873393,4.4701271824633295,3.1601273455808334,8.388300794783754,194.467667906536,2.60906866856452,7.57479872261456,200.54419941576452,0.2006394716477098,0.2521664716820389,0.563445413464672,7.410802277160793,3
55030,33986,18790,2254,34760,11264,0.11740569007486322,0.5911065211032104,6.052907135408532,3.6632940845158823,7.954953457293299,238.97607765788962,2.7937265526464303,7.4842270428731705,246.93642441241536,0.19551698889071914,0.2541897071088192,0.5563813340347928,8.736138762828563,4
55163,33761,19090,2312,34756,11374,0.11147437983502896,0.6048384076453658,3.848683342710501,2.8944276902942128,13.945479820501399,154.76709726977242,2.5272410927203985,8.20697343056465,158.22516745077155,0.20672009082138867,0.27194203815706064,0.5547764385354595,6.656250427014976,5
55080,33924,18802,2354,34750,11363,0.10555401641677582,0.5861415626467077,2.639798972310018,3.312855284365506,7.525624157725247,225.33002710452274,2.6530015580855317,7.372389904200506,232.48922537526232,0.2021428300805145,0.23384958286260615,0.5310789612883533,7.970901262379694,6
55125,34046,18746,2333,34615,11567,0.10578342496466096,0.6127480096045469,3.3900921933127393,3.8589458079227352,14.243069183245773,175.0536607576887,2.852775292714624,7.745473108696113,179.50129038291016,0.21014330090554867,0.26076066250182456,0.5637601320695942,9.16963676683069,7
55070,33797,18905,2368,34600,11198,0.10270099343546586,0.5570939279926274,3.4801672248377145,3.0138562004149088,7.061662892157033,199.58073229732508,2.5443647456780405,7.51045331238638,201.97802784473242,0.18188898245449797,0.2558024046255889,0.5306611122499963,7.189658427986079,8
55071,34020,18750,2301,34744,11303,0.10378873241222233,0.5792189989506369,2.7054628887271974,3.1121460730536508,6.653001924285036,203.95650424761516,2.567919851522759,7.190267157045298,209.71641234516937,0.18516060878787377,0.2403845985079913,0.49696972981038184,7.409789723121571,9
55032,33847,18848,2337,34530,11145,0.10529373410227429,0.6020310104514464,3.1371345098414167,3.158487905552104,7.004625586662583,256.58284226901924,2.608390000674486,7.532528871280871,257.3956054274877,0.19991416241988338,0.25874433494125565,0.5614955697136538,7.462474170211133,10
