from,to,count,total,probability
Arrival,Initial Assessment,56511,56511,1.0
Boarding Start,ED Departure,21951,21951,1.0
ED Departure,First Careunit In,21951,21951,1.0
First Careunit In,First Careunit Out,21951,21951,1.0
First Careunit Out,Hospital Discharge,19566,21951,0.8913489134891349
First Careunit Out,Second Careunit In,2385,21951,0.10865108651086511
Initial Assessment,Discharge,34560,56511,0.6115623506927855
Initial Assessment,Boarding Start,21951,56511,0.3884376493072145
Second Careunit In,Second Careunit Out,2385,2385,1.0
Second Careunit Out,Hospital Discharge,2385,2385,1.0
