num_admissions,probability
1,0.8379836629406707
2,0.11092003439380911
3,0.02884780739466896
4,0.010920034393809114
5,0.00528804815133276
6,0.0024290627687016337
7,0.0010963026655202064
8,0.0006663800515907136
9,0.0005588993981083405
10,0.0003009458297506449
11,0.00027944969905417026
12,0.00017196904557179707
13,0.00010748065348237318
14,8.598452278589854e-05
15,2.1496130696474634e-05
16,4.299226139294927e-05
17,6.44883920894239e-05
19,2.1496130696474634e-05
20,2.1496130696474634e-05
21,2.1496130696474634e-05
22,2.1496130696474634e-05
23,2.1496130696474634e-05
24,2.1496130696474634e-05
31,2.1496130696474634e-05
34,4.299226139294927e-05
42,2.1496130696474634e-05
