hour,probability
0,0.028195789453871273
1,0.023861957329870034
2,0.0194881278409893
3,0.01622716621022615
4,0.013966138701450257
5,0.013121488466642198
6,0.015189587509528785
7,0.019998682439745147
8,0.02810873636560415
9,0.04187253545648757
10,0.054619930922198065
11,0.06804257601852114
12,0.06492748713025966
13,0.06301231918838289
14,0.061607705845261956
15,0.06298879132668907
16,0.06285703530120368
17,0.060447782263756744
18,0.05742915760843992
19,0.0563586399013712
20,0.051149571322359935
21,0.04503938564047545
22,0.039103306135125214
23,0.03238610162154023
