first_careunit,second_careunit,probability
MICU,MICU,0.747274313126908
MICU,TSICU,0.04557348451809856
MICU,CSRU,0.023767989533362406
MICU,CCU,0.07849978194505015
MICU,SICU,0.10488443087658089
SICU,TSICU,0.08656716417910448
SICU,MICU,0.23223880597014926
SICU,SICU,0.6065671641791045
SICU,CSRU,0.02208955223880597
SICU,CCU,0.05253731343283582
CSRU,CSRU,0.8126635269492413
CSRU,MICU,0.05703819989534275
CSRU,CCU,0.08686551543694401
CSRU,SICU,0.03192046049188906
CSRU,TSICU,0.011512297226582941
CCU,CCU,0.4358830146231721
CCU,MICU,0.19966254218222723
CCU,CSRU,0.2992125984251969
CCU,SICU,0.04330708661417323
CCU,TSICU,0.021934758155230598
TSICU,TSICU,0.609981515711645
TSICU,MICU,0.1780653111521873
TSICU,SICU,0.14664202094886014
TSICU,CCU,0.04374614910659273
TSICU,CSRU,0.021565003080714726
NICU,NICU,0.6136363636363636
NICU,NWARD,0.38636363636363635
NWARD,NICU,0.7777777777777778
NWARD,NWARD,0.2222222222222222
